t,x,sigma
1690.6500347222245,9.417824848073307e-08,7.478088197040104e-08
1697.6500347222245,2.2717080827522875e-07,7.040179705799723e-08
1704.6500347222245,3.758613063116427e-07,8.590723123608798e-08
1711.6500347222245,1.3322083312321405e-07,7.596775036450647e-08
1718.6500347222245,1.446918126557032e-07,6.858961305744114e-08
1725.6500347222245,1.0904491752857233e-07,4.7259801349239275e-08
1732.6500347222245,1.6857607550155388e-07,6.991048922367832e-08
1739.6500347222245,8.437114763620713e-08,9.569019954980619e-08
1746.6500347222245,1.463969180869298e-07,8.237810564409219e-08
1753.6500347222245,4.50576322126943e-08,3.018789112988592e-08
1760.6500347222245,6.202142943665479e-12,4.1822588794199195e-11
1767.6500347222245,2.659120806298541e-08,3.589640680753094e-08
1774.6500347222245,1.403065650310018e-07,1.245219552723252e-07
1781.6500347222245,1.386695525137275e-07,6.089814312232853e-08
1788.6500347222245,2.909842560100718e-08,1.3183900957650995e-08
1795.6500347222245,2.6929568412784346e-08,1.5996703305724425e-08
1802.6500347222245,2.1159921316371038e-08,4.526162976656043e-08
1809.6500347222245,1.685524203916234e-08,1.5248393824565254e-08
1816.6500347222245,7.925952675297183e-08,8.532256113766045e-08
1823.6500347222245,7.039595317623128e-09,5.3247750421459225e-09
1830.6500347222245,1.37623751474591e-07,6.09217031325453e-08
1837.6500347222245,1.983177956850573e-07,6.420906119291402e-08
1844.6500347222245,1.312976495152476e-07,4.7880060671326387e-08
1851.6500347222245,1.2263331419281954e-08,4.070468011810492e-08
1858.6500347222245,1.7253579886076154e-07,7.2352464569545e-08
1865.6500347222245,1.8721249518834698e-07,9.548210205979847e-08
1872.6500347222245,3.773387170143325e-11,3.2553846952904648e-09
1879.6500347222245,4.349091185338857e-08,3.280637502141699e-08
1886.6500347222245,1.318284954701733e-07,5.4366155228237076e-08
1893.6500347222245,1.3000605962511787e-07,5.069832893257524e-08
1900.6500347222245,1.2881325491066166e-07,5.92881518580543e-08
1907.6500347222245,1.5105362299775786e-07,6.473977262798053e-08
1914.6500347222245,2.329268936791124e-07,7.42022794150126e-08
1921.6500347222245,3.819526381251135e-08,4.483909847555711e-08
1928.6500347222245,2.0990685991655463e-08,1.6420936173856015e-08
1935.6500347222245,6.32474679512325e-08,3.66781659950309e-08
1942.6500347222245,1.3606275944108141e-07,5.204514321094845e-08
1949.6500347222245,1.4892538312896956e-07,7.220972121523323e-08
1956.6500347222245,1.0350059338204368e-07,5.305443872524332e-08
1963.6500347222245,1.1081517612539799e-07,6.084729277218247e-08
1970.6500347222245,1.5686183310547738e-07,6.294312092944877e-08
1977.6500347222245,1.8303066289860784e-07,8.258106375567896e-08
1984.6500347222245,1.0442381252211581e-07,7.033598596062875e-08
1991.6500347222245,1.3771803251843252e-07,6.341898255466716e-08
1998.6500347222245,1.4674816131322277e-07,6.143386120732451e-08
2005.6500347222245,2.3943581280661363e-07,9.540216248344977e-08
2012.6500347222245,1.2402136342502548e-07,6.805014621182332e-08
2019.6500347222245,1.3316766550850977e-07,6.65202068172356e-08
2026.6500347222245,2.4840544341514363e-07,7.850172231646207e-08
2033.6500347222245,2.674519245408205e-07,8.54169436252455e-08
2040.6500347222245,3.8168674010443784e-07,8.271738862521056e-08
2047.6500347222245,3.788718278542066e-07,7.113034451302917e-08
2054.6500347222245,3.6121208278931583e-07,7.137570450899773e-08
2061.6500347222245,8.660885529847106e-08,7.715020705992415e-08
2068.6500347222245,1.7052373180729331e-07,8.388299300243192e-08
2075.6500347222245,2.4135044977814737e-07,7.884126683028652e-08
2082.6500347222245,2.1875614206560862e-07,6.24954274742514e-07
2089.6500347222245,1.5422039816022854e-07,7.990210270127467e-08
2096.6500347222245,2.1836438830200527e-07,6.545070634872533e-08
2103.6500347222245,2.7782108709554554e-07,7.297983193274484e-08
2110.6500347222245,3.651495880013236e-07,1.2329042680381277e-07
2117.6500347222245,1.37384089159656e-07,9.958912992376109e-08
2124.6500347222245,1.6622873008488504e-07,6.602624117946058e-08
2131.6500347222245,1.5470609659761297e-07,7.168208853762679e-08
